Yeezy Boost 350 V2 Black Red (2017/2020),adidas,12/05/2020,Kanye West,Black,us,m,4,17,346,376,"Known for their iconic collabs, once again Kanye West and adidas had brewed up more sneaker collection heat with the adidas Yeezy Boost 350 Black Red. 
Showing ""Pirate Black"" flashes, these come with a core black upper and sole that has a core red ""SPLY-350"" branding on both sides. 
These released in November 2016 and retailed at $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-core-black-red-2017
Yeezy 500 Utility Black,adidas,07/07/2018,Kanye West,Black,us ,m,4,17,265,343,"Kanye is back, this time with a brand new colorway of the Yeezy 500. Keeping it monochromatic, this pair is covered entirely in one color: utility black. 
Like other Yeezy 500s, this pair features a suede upper with mesh paneling. In addition, the midsole utilizes adidas’ Adiprene cushioning technology. 
Releasing in July, 2018 this pair retailed for $200.",training,https://stockx.com/adidas-yeezy-500-utility-black
Yeezy Boost 350 V2 Zebra,adidas,02/25/2017,Kanye West,White,us,m,4,17,327,345,"Adidas is back with their latest Yeezy Boost 350 V2. Fresh off the heels of NBA All-Star Weekend, these Yeezy's are nicknamed the ""Zebras,"" and come in a classic white, black and red color scheme. 
Sporting a white-based Primeknit upper with black accents giving off a Zebra stripe vibe, “SPLY-350” displayed across the sides in red finished off by a translucent BOOST cushioned sole. To date they are the most limited adidas Yeezy release.",training,https://stockx.com/adidas-yeezy-boost-350-v2-white-core-black-red
Yeezy Boost 350 V2 Carbon,adidas,10/02/2020,Kanye West,Black,us,m,4,17,300,341,"Kanye West and adidas keep the ball rolling with the Yeezy 350 V2 Carbon. This release marks the 12th colorway of the favorite 350 V2 model in 2020 and this colorway’s dark-hued upper makes it the perfect piece of footwear for fall.
The Yeezy 350 V2 Carbon holds all of the familiar elements that make the silhouette so popular; breathable Primeknit solid black mesh with its signature side stripe, ribbed patterned off-white midsole, and classic BOOST cushioning make the 350 V2 Carbon easy to love and easy to wear.
The Yeezy 350 V2 Carbon released in October of 2020.",training,https://stockx.com/adidas-yeezy-boost-350-v2-asriel
Yeezy Boost 350 V2 Zyon,adidas,07/18/2020,Kanye West,Grey,us,m,4,17,231,269,"This 350 V2 dons a similar pattern as the Static colorway, only this time ditching a white side stripe and grey accents for a darker brown stripe and mocha hues.
This Yeezy 350 V2 is composed of a Zyon Primeknit upper with a dark tonal side stripe. A translucent Boost cushioned sole and cream interior completes the design. 
These sneakers released in March of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-zyon
Yeezy Boost 350 V2 Natural,adidas,10/24/2020,Kanye West,White,us,m,4,17,212,314,"The Yeezy Boost 350 V2 Natural is reminiscent of the 350 V2 Cream that released in 2017. 
Its upper is mostly white, but instead of a monotone look, hits of light grey on the Primeknit upper give this design an identity of its own. A yellowed translucent Boost sole, a see-through side stripe, and traditional rope laces add the finishing touches to this most recent addition to the 350 V2 collection.
The Yeezy Boost 350 V2 Natural released in October of 2020 and retailed for $200.",training,https://stockx.com/adidas-yeezy-boost-350-v2-natural
Ultra Boost 4.0 Running White,adidas,11/30/2017,null,White,us,m,4,18,129,151,"The best-selling model from adidas is back and better than ever on its fourth iteration. 
Featured in a running white colorway, the adidas Ultra Boost 4.0 does not disappoint. Keeping things clean, this pair dons running white on the revamped primeknit upper, Three Stripes cage, laces, and boost midsole. Finishing things off is a black Continental rubber outsole. 
The adidas Ultra Boost has become a fan favorite, both for its superior performance as well as its seamless lifestyle aesthetic. This pair dropped in November 2017 for $180.",training,https://stockx.com/adidas-ultra-boost-4-0-running-white
Yeezy Boost 350 V2 Fade,adidas,11/11/2020,Kanye West,Brown,us,m,4,17,256,298,"Yeezy unlocked a new 350 V2 colorway as part of their Fall 2020 lineup with the Yeezy 350 V2 Fade. The earthy brown look is primed for the autumnal season, embracing the vibe of newly fallen leaves and their natural surroundings.
The Yeezy 350 V2 Fade features a marbled brown Primeknit upper with a deep blue side stripe across the quarter. A tan translucent midsole around a gum Boost interior completes this standard Yeezy design.
The Yeezy 350 V2 Fade released in November of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-yecher
Yeezy 700 V3 Arzareth,adidas,08/29/2020,Kanye West,Blue,us,m,4,17,353,385,"Please Note: Extra laces required. The Yeezy 700 V3 Arzareth welcomed a new wave of color for the ever-growing Yeezy line. Previous releases of the 700 V3 have stayed in neutral territory, making the Arzareth a stand out with its striking colorway.
The Yeezy 700 V3 Arzareth features a blue and grey Primeknit upper that is complemented by a traditional translucent glow-in-the-dark cage overlay. From there, an EVA foam midsole, grey toe cap, and black lining complete the design.
The Yeezy 700 V3 Arzareth released in August of 2020 and retailed for $200.",training,https://stockx.com/adidas-yeezy-700-v3-arzareth
Yeezy Boost 350 V2 Cinder,adidas,03/21/2020,Kanye West,Black,us,m,4,17,378,422,"This 350 V2 stays true to Yeezy’s signature palette, sporting dark earth tones that provide a natural feeling.
This Yeezy 350 V2 is composed of a cinder Primeknit upper with a tonal side stripe. A cinder Boost cushioned midsole sole and gold outsole completes the design. These sneakers released in March of 2020 and retailed for $220.",training,https://stockx.com/adidas-yeezy-boost-350-v2-cinder
